pair_id,case_id,n_diff,n_positive_consistent,positive_fraction,sign_agreement_rate,credit_abs_sum,credit_positive_sum,c_avg_sum,reward_gap,n_eff,n_eff_ratio,topk_top10,topk_top20,topk_top30,topk_top50
sab2_6mqe_h:sab2_6mqe_h_s01:sab2_6mqe_h_s16,sab2_6mqe_h,19,7,0.3684210526315789,0.5263157894736842,40.72709730267525,8.954822421073914,11.236849829554558,8.710058450698853,4.533682938547698,0.23861489150251042,0.5564225428105288,0.859764589266598,0.972026063621216,1.0
sab2_6mqe_h:sab2_6mqe_h_s17:sab2_6mqe_h_s12,sab2_6mqe_h,20,7,0.35,0.8,36.17920560638595,16.58221399784088,6.079141284026264,7.496929168701172,4.174970580299523,0.20874852901497615,0.5969220805961003,0.8928895495182794,0.9951964423610574,1.0
sab2_6mqe_h:sab2_6mqe_h_s04:sab2_6mqe_h_s14,sab2_6mqe_h,22,8,0.36363636363636365,0.6363636363636364,32.21287730708718,10.01151418685913,8.624019568786025,6.878185749053955,3.5382333984760024,0.1608287908398183,0.8256180668135001,0.9291238520786217,0.980082557034268,1.0
sab2_6mqe_h:sab2_6mqe_h_s28:sab2_6mqe_h_s18,sab2_6mqe_h,21,8,0.38095238095238093,0.7142857142857143,38.45278060436249,8.93774962425232,8.35898095369339,6.529941558837891,4.162884805030717,0.19823260976336746,0.7810318756003812,0.9256905989731709,0.986586938697313,1.0
sab2_6p4b_b:sab2_6p4b_b_s01:sab2_6p4b_b_s23,sab2_6p4b_b,12,6,0.5,0.75,36.78535509109497,11.539319515228271,23.44212794303894,21.32065200805664,4.10160467359284,0.34180038946607,0.6055663401213908,0.793797420770425,0.8808824420890716,1.0
sab2_6p4b_b:sab2_6p4b_b_s31:sab2_6p4b_b_s25,sab2_6p4b_b,12,5,0.4166666666666667,0.5,32.64266782999039,10.864222049713135,21.836127787828445,18.551984786987305,3.4051169747506043,0.2837597478958837,0.7295702123317207,0.845555232472017,0.9399905854676049,1.0
sab2_6p4b_b:sab2_6p4b_b_s16:sab2_6p4b_b_s14,sab2_6p4b_b,9,5,0.5555555555555556,0.5555555555555556,27.784424997866154,8.034078598022461,18.000980008393526,14.243334770202637,1.660712702477218,0.18452363360857976,0.7577438095461937,0.8949877628424867,0.9902807839472804,1.0
sab2_6p4b_b:sab2_6p4b_b_s13:sab2_6p4b_b_s17,sab2_6p4b_b,10,4,0.4,0.7,24.3520365357399,7.596787214279175,10.248053580522537,12.327860951423645,1.7065879226310607,0.17065879226310607,0.7158264532775783,0.986809484347713,0.9977766224929766,1.0
sab2_6p4b_b:sab2_6p4b_b_s06:sab2_6p4b_b_s00,sab2_6p4b_b,12,4,0.3333333333333333,0.3333333333333333,41.363893419504166,7.541360855102539,16.313909485936165,11.901344418525696,1.2968275057893208,0.10806895881577673,0.9564135670467608,0.9907569720107895,1.0,1.0
sab2_6p4b_b:sab2_6p4b_b_s30:sab2_6p4b_b_s28,sab2_6p4b_b,12,6,0.5,0.75,29.917837530374527,6.756498634815216,9.214864626526833,11.298781722784042,3.9629346212426455,0.33024455177022044,0.6230178275750947,0.8202554726254068,0.8957291845281043,1.0
sab2_6p4b_b:sab2_6p4b_b_s22:sab2_6p4b_b_s09,sab2_6p4b_b,10,5,0.5,0.6,29.22292910516262,9.008916955441236,13.514935608953238,11.011324267834425,3.8100350373821037,0.38100350373821035,0.31861792609485295,0.6309260135967089,0.8364906130910164,1.0
sab2_6p4b_b:sab2_6p4b_b_s12:sab2_6p4b_b_s26,sab2_6p4b_b,7,4,0.5714285714285714,0.5714285714285714,15.479985296726227,8.394248366355896,13.035038322210312,10.147388100624084,1.7160226351940304,0.24514609074200436,0.7409851778271204,0.9039278241913539,0.987450703539089,1.0
sab2_6u52_c:sab2_6u52_c_s18:sab2_6u52_c_s29,sab2_6u52_c,15,8,0.5333333333333333,0.6666666666666666,18.28916049003601,19.698675394058228,24.346542954444885,21.212462425231934,4.347411653788715,0.28982744358591433,0.5821020233137489,0.7446250091062051,0.9155300486734606,1.0
sab2_6u52_c:sab2_6u52_c_s28:sab2_6u52_c_s00,sab2_6u52_c,14,7,0.5,0.5,27.234058380126953,9.416620016098022,19.483795881271362,16.09299373626709,3.4066170461755614,0.2433297890125401,0.6517918055187482,0.8141903744735534,0.9620082627258488,1.0
sab2_6u52_c:sab2_6u52_c_s27:sab2_6u52_c_s19,sab2_6u52_c,16,6,0.375,0.5,32.594158411026,10.355295896530151,17.47048318386078,15.92428731918335,3.072980114479463,0.19206125715496644,0.7099715911255934,0.9452317404963786,0.9777089718273271,1.0
sab2_6u52_c:sab2_6u52_c_s10:sab2_6u52_c_s15,sab2_6u52_c,11,5,0.45454545454545453,0.5454545454545454,21.00684654712677,8.382327556610107,16.09264999628067,14.344433784484863,3.1331482415427057,0.28483165832206414,0.6917537757377191,0.8127676095617417,0.9131014451037217,1.0
sab2_6u52_c:sab2_6u52_c_s07:sab2_6u52_c_s11,sab2_6u52_c,15,7,0.4666666666666667,0.6,20.21467622113414,7.6956979632377625,10.879530290723778,12.742456912994385,3.4666513862203883,0.23111009241469255,0.7177108343601455,0.8312419396289219,0.9786543176527284,1.0
sab2_6u52_c:sab2_6u52_c_s20:sab2_6u52_c_s04,sab2_6u52_c,14,6,0.42857142857142855,0.7857142857142857,16.386427626013756,4.671132206916809,4.442309610545635,11.621925711631775,3.5951211010556254,0.2567943643611161,0.6719802322853974,0.8228437274247896,0.9822649619055307,1.0
sab2_6u52_c:sab2_6u52_c_s13:sab2_6u52_c_s12,sab2_6u52_c,8,3,0.375,0.75,7.23699688911438,12.72229552268982,12.313585638999939,9.944024801254272,2.942932290746462,0.36786653634330774,0.3821123129316399,0.7291004180473912,1.0,1.0
sab2_6u52_c:sab2_6u52_c_s22:sab2_6u52_c_s31,sab2_6u52_c,19,5,0.2631578947368421,0.5789473684210527,42.399541810154915,11.66683155298233,7.900416828691959,9.172903716564178,3.0089251477853627,0.15836448146238752,0.7477405863163712,0.9884092606672997,1.0,1.0
sab2_7jkt_h:sab2_7jkt_h_s20:sab2_7jkt_h_s11,sab2_7jkt_h,16,8,0.5,0.5625,21.6950364112854,12.217385292053223,18.521385431289673,20.800918579101562,4.296795672276854,0.2685497295173034,0.6297034226515837,0.8341367404225962,0.8915817263435225,1.0
sab2_7jkt_h:sab2_7jkt_h_s09:sab2_7jkt_h_s04,sab2_7jkt_h,17,7,0.4117647058823529,0.6470588235294118,32.30656039714813,14.278918504714966,10.899278342723846,16.47500705718994,5.270202570301443,0.31001191590008487,0.47698748332884594,0.7850467001028968,0.9826015390684191,1.0
sab2_7jkt_h:sab2_7jkt_h_s02:sab2_7jkt_h_s23,sab2_7jkt_h,17,7,0.4117647058823529,0.5294117647058824,58.02443593740463,16.315667152404785,13.252422779798508,12.322717189788818,4.770328560335733,0.28060756237269013,0.5212221852224577,0.8419028265774277,0.9536715164414854,1.0
sab2_7jkt_h:sab2_7jkt_h_s16:sab2_7jkt_h_s12,sab2_7jkt_h,9,3,0.3333333333333333,0.6666666666666666,14.585342437028885,6.7103100419044495,9.336675718426704,9.611442565917969,2.4462280738026405,0.2718031193114045,0.557269400573125,0.7895491433178629,1.0,1.0
sab2_7jkt_h:sab2_7jkt_h_s06:sab2_7jkt_h_s03,sab2_7jkt_h,17,5,0.29411764705882354,0.5882352941176471,53.91127270460129,12.075898468494415,7.875712901353836,8.75370728969574,2.6997684326798392,0.15880990780469642,0.7683754197440427,0.9405716458271509,1.0,1.0
sab2_7jkt_h:sab2_7jkt_h_s10:sab2_7jkt_h_s14,sab2_7jkt_h,18,4,0.2222222222222222,0.4444444444444444,57.85035605728626,2.933540940284729,2.9146741405129433,7.4728734493255615,2.355754295865987,0.1308752386592215,0.8581599113308199,1.0,1.0,1.0
sab2_7jkt_h:sab2_7jkt_h_s01:sab2_7jkt_h_s05,sab2_7jkt_h,8,5,0.625,0.75,9.751676231622696,6.21669802069664,8.05459688603878,6.564741313457489,3.8034216925585596,0.47542771156981994,0.35367956065072237,0.6429855858814522,0.8240558284776687,0.966200472966703
